region,industry,business_size,risk_score,actual_decision
Kolkata,Construction,large,35,clear
Delhi,Manufacturing,medium,62,inspected
Kolkata,Manufacturing,medium,44,clear
Delhi,Construction,large,75,inspected
Delhi,Construction,medium,81,inspected
Kolkata,Manufacturing,small,38,clear
Chennai,Construction,medium,35,clear
Delhi,Retail,medium,53,clear
Kolkata,Manufacturing,large,23,clear
Mumbai,Construction,medium,48,clear
Chennai,Retail,small,55,clear
Delhi,Healthcare,small,69,inspected
Bangalore,Retail,medium,27,clear
Delhi,Construction,medium,71,inspected
Kolkata,IT,large,31,clear
Delhi,Healthcare,medium,55,clear
Mumbai,Construction,medium,62,inspected
Chennai,Healthcare,medium,23,clear
Kolkata,Retail,small,42,clear
Mumbai,IT,medium,54,clear
Mumbai,Healthcare,small,53,clear
Chennai,Healthcare,large,30,clear
Kolkata,Healthcare,large,22,clear
Kolkata,Healthcare,small,52,clear
Kolkata,Healthcare,medium,41,clear
Delhi,Manufacturing,small,73,inspected
Chennai,Healthcare,medium,48,clear
Chennai,Manufacturing,large,32,clear
Kolkata,IT,small,43,clear
Delhi,Construction,small,76,inspected
Mumbai,Construction,large,54,clear
Delhi,Healthcare,medium,72,inspected
Bangalore,Construction,large,46,clear
Chennai,Retail,medium,31,clear
Mumbai,IT,medium,42,clear
Kolkata,Construction,medium,53,clear
Delhi,Construction,large,74,inspected
Mumbai,Retail,large,26,clear
Bangalore,IT,large,27,clear
Chennai,IT,medium,39,clear
Delhi,Manufacturing,small,79,inspected
Mumbai,Healthcare,large,38,clear
Mumbai,Retail,large,27,clear
Mumbai,Manufacturing,small,58,clear
Delhi,Retail,medium,53,clear
Mumbai,Healthcare,small,65,inspected
Chennai,Healthcare,small,41,clear
Chennai,IT,small,50,clear
Kolkata,Construction,medium,31,clear
Chennai,Construction,large,43,clear
Kolkata,Construction,medium,39,clear
Mumbai,IT,medium,35,clear
Delhi,Retail,large,68,inspected
Mumbai,Construction,small,50,clear
Kolkata,Manufacturing,medium,33,clear
Bangalore,Healthcare,small,31,clear
Chennai,Manufacturing,small,34,clear
Chennai,Healthcare,small,47,clear
Chennai,Healthcare,medium,26,clear
Delhi,Retail,large,74,inspected
Kolkata,Construction,large,51,clear
Chennai,Retail,small,49,clear
Kolkata,IT,medium,41,clear
Kolkata,Retail,medium,42,clear
Delhi,Retail,small,70,inspected
Kolkata,IT,medium,27,clear
Kolkata,Retail,medium,24,clear
Kolkata,Healthcare,small,30,clear
Mumbai,Healthcare,large,45,clear
Chennai,Retail,medium,49,clear
Chennai,IT,medium,22,clear
Bangalore,Manufacturing,small,47,clear
Kolkata,IT,small,32,clear
Kolkata,Manufacturing,small,44,clear
Mumbai,Manufacturing,small,39,clear
Chennai,Retail,small,37,clear
Delhi,IT,small,80,inspected
Bangalore,IT,large,31,clear
Mumbai,Manufacturing,large,48,clear
Kolkata,Construction,small,49,clear
Mumbai,Retail,small,45,clear
Mumbai,Construction,small,60,clear
Bangalore,Construction,small,42,clear
Chennai,Retail,medium,33,clear
Chennai,Construction,large,43,clear
Bangalore,Healthcare,large,25,clear
Delhi,Retail,small,87,inspected
Delhi,Healthcare,small,65,inspected
Mumbai,Manufacturing,medium,44,clear
Delhi,Construction,small,71,inspected
Chennai,Manufacturing,small,52,clear
Delhi,IT,medium,65,inspected
Chennai,Healthcare,large,22,clear
Delhi,Retail,small,73,inspected
Chennai,IT,large,19,clear
Mumbai,IT,large,28,clear
Mumbai,Construction,medium,67,inspected
Delhi,Manufacturing,medium,71,inspected
Chennai,Healthcare,small,39,clear
Bangalore,Manufacturing,small,30,clear
Delhi,Manufacturing,small,72,inspected
Delhi,Retail,small,87,inspected
Kolkata,Healthcare,large,36,clear
Bangalore,Manufacturing,medium,47,clear
Kolkata,Retail,medium,21,clear
Kolkata,Retail,large,34,clear
Bangalore,IT,large,24,clear
Bangalore,Healthcare,small,49,clear
Bangalore,Retail,small,28,clear
Bangalore,Construction,large,53,clear
Chennai,Manufacturing,small,42,clear
Delhi,IT,small,64,inspected
Kolkata,Construction,small,41,clear
Bangalore,IT,medium,25,clear
Mumbai,IT,small,46,clear
Bangalore,Construction,medium,38,clear
Kolkata,Manufacturing,medium,29,clear
Delhi,IT,medium,56,clear
Mumbai,Manufacturing,medium,50,clear
Mumbai,Healthcare,large,40,clear
Bangalore,Construction,small,63,inspected
Chennai,Retail,medium,43,clear
Bangalore,IT,small,28,clear
Kolkata,Retail,medium,25,clear
Chennai,Healthcare,small,40,clear
Chennai,Manufacturing,large,21,clear
Chennai,Retail,medium,22,clear
Kolkata,IT,large,29,clear
Chennai,IT,medium,32,clear
Bangalore,Healthcare,large,31,clear
Bangalore,Retail,medium,45,clear
Kolkata,Healthcare,large,30,clear
Kolkata,Healthcare,medium,42,clear
Mumbai,Manufacturing,medium,49,clear
Mumbai,Construction,large,49,clear
Bangalore,Manufacturing,medium,32,clear
Mumbai,Manufacturing,medium,33,clear
Chennai,Construction,large,30,clear
Chennai,Construction,large,33,clear
Delhi,Retail,small,77,inspected
Kolkata,IT,medium,17,clear
Kolkata,Construction,small,67,inspected
Kolkata,Manufacturing,large,27,clear
Bangalore,Retail,large,24,clear
Bangalore,IT,large,14,clear
Kolkata,Retail,small,48,clear
Delhi,Retail,medium,75,inspected
Chennai,IT,large,10,clear
Mumbai,Healthcare,medium,38,clear
Chennai,Healthcare,small,47,clear
Mumbai,Healthcare,small,67,inspected
Chennai,IT,medium,36,clear
Chennai,Construction,large,52,clear
Delhi,IT,small,65,inspected
Chennai,Manufacturing,small,31,clear
Bangalore,Healthcare,medium,45,clear
Bangalore,Manufacturing,small,31,clear
Delhi,Manufacturing,large,51,clear
Delhi,Construction,large,70,inspected
Kolkata,IT,medium,26,clear
Mumbai,Retail,medium,50,clear
Delhi,Retail,large,67,inspected
Delhi,Retail,small,76,inspected
Bangalore,Manufacturing,small,39,clear
Mumbai,Retail,small,38,clear
Delhi,Retail,large,54,clear
Mumbai,Manufacturing,small,61,inspected
Kolkata,Retail,medium,47,clear
Delhi,Construction,small,74,inspected
Mumbai,Manufacturing,medium,35,clear
Delhi,Manufacturing,medium,70,inspected
Kolkata,IT,medium,30,clear
Mumbai,IT,medium,26,clear
Bangalore,Retail,large,36,clear
Chennai,Healthcare,large,24,clear
Bangalore,Construction,large,41,clear
