payment_delay_days,missing_documents_count,previous_violations,employee_count,company_age_years,actual_risk_score
50,0,6,489,10,89.94799890642375
21,1,8,149,13,63.31668079348178
19,0,3,398,3,33.30947365323517
35,1,7,428,17,85.86421147686653
43,2,9,429,5,100.0
33,2,7,319,13,71.0517535499405
5,4,8,293,6,56.96880520522067
29,2,7,315,9,61.410247910947206
54,2,2,35,8,83.66983164584785
10,3,5,122,17,51.53935973621214
29,2,8,198,15,68.06919220669404
44,3,4,330,4,96.88349973300797
18,3,0,24,17,45.83490165723801
13,4,3,337,11,48.929776346772165
2,0,5,182,10,32.38504078421472
1,4,7,134,1,59.11996063842467
36,0,0,269,11,55.14939136109162
34,0,4,322,12,53.77792760934144
49,4,7,463,9,100.0
0,3,7,271,9,36.79079741647233
36,3,2,217,5,68.91741576481888
25,3,8,241,10,82.174604635403
24,1,7,332,7,64.5626657617372
37,0,6,67,15,69.87775225489577
32,0,0,229,15,42.547027905917446
39,2,6,439,6,69.74432345496058
5,2,6,183,8,35.590605524779676
46,4,0,482,7,77.76302486188109
26,3,5,445,1,71.05038888956864
32,3,5,326,10,77.0038652457029
4,2,9,357,6,39.575985461463446
44,3,7,19,8,99.1790436502204
4,4,3,336,13,41.1480296005283
50,3,3,286,11,93.77818929402476
26,4,3,15,10,57.311072292538235
22,1,9,145,8,63.998692064030465
17,0,0,115,8,29.310818092680393
55,4,7,131,10,100.0
48,3,9,397,19,100.0
21,2,6,261,14,59.70047721289849
36,4,9,114,4,99.47862456144347
39,4,8,313,9,100.0
9,3,8,121,9,56.74991650812453
25,2,5,390,7,55.26230106357044
17,2,1,351,17,32.182600537573556
58,2,5,156,7,100.0
51,4,7,165,17,100.0
25,3,1,473,17,53.529438057452516
6,0,3,365,17,24.736619481218074
39,0,6,261,13,71.67978328610621
29,2,7,215,17,72.63623364892001
39,2,1,261,14,58.08287614433117
50,1,1,480,17,75.23042596248814
3,0,7,417,7,21.233048837959252
2,1,9,471,14,50.47481845748331
54,3,1,395,8,84.42523015583222
0,0,6,327,8,24.493728888186673
2,2,0,96,15,11.748274270063959
7,1,2,100,14,27.649026597056075
15,3,3,169,14,47.101622935922606
30,1,6,334,7,68.44419123516393
47,4,2,40,18,86.73391275132431
1,0,4,408,11,13.678281547286204
22,3,3,265,5,46.3576935181822
37,0,1,57,12,46.62483836176638
29,2,6,132,17,70.08736617291329
49,2,0,18,9,79.57619769216537
38,0,5,282,11,68.96128642206885
45,3,9,446,13,100.0
5,1,4,46,4,32.75712687232366
40,1,0,169,6,50.65426139902533
41,4,8,291,6,100.0
26,1,8,313,7,74.13089091162061
20,3,9,50,2,76.28569065046986
59,2,0,311,4,79.67497048314812
35,0,6,236,3,72.03796085215131
53,1,6,115,5,83.82606579712382
46,3,2,231,11,77.58053010629719
16,2,1,205,2,33.025057547515196
42,1,8,43,3,96.25400317817756
2,1,4,112,12,21.861071916600938
58,2,0,449,17,76.30550789011897
9,0,6,307,12,40.1228433901335
7,4,0,219,5,28.998028344435347
53,0,1,93,12,69.74809109566293
22,1,4,90,7,48.438438435815556
13,4,6,141,19,59.402224230716726
29,3,6,487,18,77.20750348686312
58,1,6,277,14,91.5742003881777
59,4,1,135,5,97.30516671758672
42,1,6,475,12,86.06929809880359
3,4,5,413,13,45.189075328145684
17,0,9,112,2,59.966997951027224
34,2,6,306,17,75.03508606561873
28,4,8,276,12,77.19089837433384
4,0,0,7,13,0.0
13,1,3,150,5,32.426575563066095
48,0,7,456,12,86.7710736626826
58,1,4,65,5,89.77138473426692
55,2,1,157,7,75.8720757849127
51,3,7,152,19,96.35019831171327
33,0,9,429,17,75.96981482036783
57,2,7,266,5,100.0
16,2,2,490,13,34.34626853125262
55,4,8,333,4,100.0
40,2,8,199,2,90.8234891371857
11,1,8,467,8,50.82577348531444
33,3,5,332,5,75.74822588468989
47,1,1,458,5,68.8738051542327
4,4,0,118,8,19.49586602082952
44,4,2,190,3,87.41937401893607
26,4,0,266,19,45.54091928933652
15,3,0,63,16,37.10241090598682
24,4,9,360,6,87.33637015553649
59,4,9,253,19,100.0
38,1,3,262,14,65.79445522968386
12,4,6,454,13,59.355495340099516
16,1,7,369,3,52.432182740780746
47,2,6,78,9,89.92352233806524
59,4,5,200,4,100.0
49,3,0,16,17,64.75020549509647
